usgs,site_no,date,tidal_high,tidal_low,precipitation_inches,lat,long
GSVB,33670001,2019-03-08,-6.7913385826771648,-6.7257217847769031,,36.735303,-76.011602
GSVB,33670001,2019-03-19,-6.8569553805774275,-6.758530183727034,,36.735303,-76.011602
GSVB,33670001,2019-02-21,1.9356955380577427,2.1325459317585302,,36.735303,-76.011602
GSVB,33670001,2019-03-11,-6.66010498687664,-6.4304461942257216,,36.735303,-76.011602
GSVB,33670001,2019-04-04,1.9028871391076114,2.0669291338582676,,36.735303,-76.011602
GSVB,33670001,2019-02-14,1.7716535433070866,1.9356955380577427,,36.735303,-76.011602
GSVB,33670001,2019-04-14,2.2309711286089238,2.39501312335958,,36.735303,-76.011602
GSVB,33670001,2019-02-24,2.65748031496063,2.9527559055118111,,36.735303,-76.011602
GSVB,33670001,2019-01-12,2.2965879265091864,2.39501312335958,,36.735303,-76.011602
GSVB,33670001,2019-02-07,2.0341207349081363,2.1981627296587924,,36.735303,-76.011602
GSVB,33670001,2019-01-17,2.4934383202099739,2.5918635170603674,,36.735303,-76.011602
GSVB,33670001,2019-02-27,-6.66010498687664,-6.5616797900262469,,36.735303,-76.011602
GSVB,33670001,2019-03-21,-6.7913385826771648,-6.5944881889763778,,36.735303,-76.011602
GSVB,33670001,2019-02-06,1.8700787401574803,2.1325459317585302,,36.735303,-76.011602
GSVB,33670001,2019-01-29,1.8044619422572179,2.0013123359580054,,36.735303,-76.011602
GSVB,33670001,2019-03-18,-6.8569553805774275,-6.758530183727034,,36.735303,-76.011602
GSVB,33670001,2019-01-13,2.3622047244094486,2.8871391076115485,,36.735303,-76.011602
GSVB,33670001,2019-03-23,-6.8569553805774275,-6.6929133858267713,,36.735303,-76.011602
GSVB,33670001,2019-04-06,1.9028871391076114,2.0013123359580054,,36.735303,-76.011602
GSVB,33670001,2019-01-30,1.8044619422572179,1.9685039370078741,,36.735303,-76.011602
GSVB,33670001,2019-01-14,2.7230971128608923,2.8871391076115485,,36.735303,-76.011602
GSVB,33670001,2019-01-04,2.5262467191601048,2.6246719160104988,,36.735303,-76.011602
GSVB,33670001,2019-04-11,1.9028871391076114,2.0013123359580054,,36.735303,-76.011602
GSVB,33670001,2019-03-09,-6.8241469816272966,-6.7257217847769031,,36.735303,-76.011602
GSVB,33670001,2019-03-04,-6.6929133858267713,-6.4960629921259843,,36.735303,-76.011602
GSVB,33670001,2019-03-20,-6.8569553805774275,-6.758530183727034,,36.735303,-76.011602
GSVB,33670001,2019-02-04,1.837270341207349,1.9356955380577427,,36.735303,-76.011602
GSVB,33670001,2019-03-07,-6.8569553805774275,-6.7257217847769031,,36.735303,-76.011602
GSVB,33670001,2019-01-18,2.4606299212598426,2.5590551181102361,,36.735303,-76.011602
GSVB,33670001,2019-02-09,1.7060367454068242,1.9356955380577427,,36.735303,-76.011602
GSVB,33670001,2019-04-08,1.9028871391076114,2.0997375328083989,,36.735303,-76.011602
GSVB,33670001,2019-04-09,1.9356955380577427,2.1653543307086616,,36.735303,-76.011602
